"ID","title","streetaddress","description","city","state","amenityfeatures","Year","type","unclear_address","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
5,"AA Gay/ Lesbian","516 27th St. S.","933-8964/326-8600 meetings change weekly, call for info","Birmingham","AL","",1990,"Info Lines & Services",NA,"","(205) area code","4/25/2023 9:36pm","516 27th St. S., Birmingham, AL",-86.7916422,33.5119773,"516 27th st s, birmingham, al 35233, usa","Geocoded"
6,"Club 21","117 1/2 21st St. N.","8pm to 4am Wed-Sun N.322-0469","Birmingham","AL","(MX),(S),(D),(B)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","117 1/2 21st St. N., Birmingham, AL",-86.9487751,33.4034806,"1 21st st n #117, bessemer, al 35203, usa","Geocoded"
7,"Mabel's Beauty Shop & Chain Saw Repair","318 14th St. S.","24hrs, patio 254-9567-9","Birmingham","AL","(*),(D),(CW)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","318 14th St. S., Birmingham, AL",-86.8107608,33.5053745,"318 14th st s, birmingham, al 35233, usa","Geocoded"
8,"Quest","416 24th St. S.","251-4313 open 24hrs, patio","Birmingham","AL","(D),(CW)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","416 24th St. S., Birmingham, AL",-86.7962584,33.5108515,"416 24th st s, birmingham, al 35233, usa","Geocoded"
9,"Rage, The","620 29th St. S.","323-7243","Birmingham","AL","(MX),(MW),(D),(YC),(PC)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","620 29th St. S., Birmingham, AL",-86.7881814,33.5122879,"620 29th st s, birmingham, al 35233, usa","Geocoded"
10,"Cafe Le Netta","2323 1st Ave. N.","324-2333 cocktails, lunch & dinner only, open daily","Birmingham","AL","(MX),(E)",1990,"Restaurants & Cafes",NA,"","(205) area code","4/25/2023 9:36pm","2323 1st Ave. N., Birmingham, AL",-86.8005121,33.5167045,"2323 1st ave n, birmingham, al 35203, usa","Geocoded"
14,"Alabama Forum","Box 55913, Birm. 35255","326-8600","Birmingham","AL","",1990,"Publications",NA,"","(205) area code","4/25/2023 9:36pm","Box 55913, Birm. 35255, Birmingham, AL",-86.8000045,33.4999983,"birmingham, al 35255, usa","Geocoded"
11,"Steak'n Egg Kitchen","1717 10th Ave. S.","933-9822","Birmingham","AL","(MX),(MW),(AH)",1990,"Restaurants & Cafes",NA,"","(205) area code","4/25/2023 9:36pm","1717 10th Ave. S., Birmingham, AL",-86.8003532,33.5001606,"1717 10th ave s, birmingham, al 35205, usa","Geocoded"
12,"Lodestar Books","2020 11th Ave. S.","939-3356 gay/lesbian titles","Birmingham","AL","",1990,"Book Stores/Retail Shops",NA,"","(205) area code","4/25/2023 9:36pm","2020 11th Ave. S., Birmingham, AL",-86.7950963,33.500939,"2020 11th ave s, birmingham, al 35205, usa","Geocoded"
13,"MCC","2630 6th Ave. S.","326-8529 worship 11am Sun","Birmingham","AL","(MCC)",1990,"Religious Organizations",NA,"","(205) area code","4/25/2023 9:36pm","2630 6th Ave. S., Birmingham, AL",-86.7913675,33.5117079,"2630 6th ave s, birmingham, al 35233, usa","Geocoded"
15,"Alabama Adult Books","901 5th Ave. N.","322-7323","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"","(205) area code","4/25/2023 9:36pm","901 5th Ave. N., Birmingham, AL",-86.8232546,33.5108847,"901 5th ave n, birmingham, al 35203, usa","Geocoded"
16,"Birmingham Adult Books","7610 1st Ave. N.","836-1580 open 24hrs","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"","(205) area code","4/25/2023 9:36pm","7610 1st Ave. N., Birmingham, AL",-86.7298765,33.5607905,"7610 1st ave n, birmingham, al 35206, usa","Geocoded"
17,"Downtown Bookstore, The","2731 8th Ave. N.","","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"","(205) area code","4/25/2023 9:36pm","2731 8th Ave. N., Birmingham, AL",-86.7995431,33.5264678,"2731 reverend abraham woods jr boulevard, birmingham, al 35203, usa","Geocoded"
18,"Jupiter Theater","2500 7th Ave. S.","large screen movies","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"","(205) area code","4/25/2023 9:36pm","2500 7th Ave. S., Birmingham, AL",-86.7929381,33.5093961,"2500 7th ave s, birmingham, al 35233, usa","Geocoded"
19,"Pleasure Books","7606 1st Ave. N.","836-7379 24hrs Mon-Sat, noon-midnight Sun","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"","(205) area code","4/25/2023 9:36pm","7606 1st Ave. N., Birmingham, AL",-86.7301122,33.5608404,"7606 1st ave n, birmingham, al 35206, usa","Geocoded"
20,"Southside Adult Book Store","316 S. 14th St.","251-6625 open 24hrs","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"","(205) area code","4/25/2023 9:36pm","316 S. 14th St., Birmingham, AL",NA,NA,"NA","Geocoded"
21,"Top Hat Theater","9221 Todd Dr.","films & videos","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"","(205) area code","4/25/2023 9:36pm","9221 Todd Dr., Birmingham, AL",-86.700455,33.5878074,"9221 todd ave, birmingham, al 35206, usa","Geocoded"
28,"St. Andrews Alley","134-A N. Foster St.","793-9418","Dothan","AL","(*),(D),(S),(E)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","134-A N. Foster St., Dothan, AL",-85.391872,31.224087,"134 n foster st a, dothan, al 36303, usa","Geocoded"
31,"Head Quarters","217 S. 4th St.","547-9828","Gadsden","AL","(NH)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","217 S. 4th St., Gadsden, AL",-86.0044489,34.011755,"217 s 4th st, gadsden, al 35901, usa","Geocoded"
34,"Atlantis","2572 Sparkman","852-9990","Huntsville","AL","(*),(MW),(D),(S),(B)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","2572 Sparkman, Huntsville, AL",-86.5975219,34.7637226,"2572 sparkman dr nw, huntsville, al 35810, usa","Geocoded"
35,"Vieux Carre","1204 Posey","534-5970 7pm-2am","Huntsville","AL","(MW),(D),(NH)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","1204 Posey, Huntsville, AL",-86.6005067,34.7379893,"1204 posey st nw, huntsville, al 35816, usa","Geocoded"
41,"Club Park Ave.","7 S. Joachim","433-9105 6am-4am","Mobile","AL","(*),(MW),(V),(S),(E),(YC)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","7 S. Joachim, Mobile, AL",-88.042733,30.6882644,"7 s joachim st, mobile, al 36602, usa","Geocoded"
42,"French Quarter","215 Conti St.","438-9139 cruisy","Mobile","AL","(D)",1990,"Bars,Cruising Areas",NA,"","(205) area code","4/25/2023 9:36pm","215 Conti St., Mobile, AL",-88.0433046,30.690341,"215 conti st, mobile, al 36602, usa","Geocoded"
45,"Society Lounge","51 Conception","433-9141 7pm-? Mon-Sat, noon-? Sun","Mobile","AL","(S)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","51 Conception, Mobile, AL",NA,NA,"NA","Geocoded"
43,"Golden Rod","219 Conti","433-9175 7pm-?","Mobile","AL","(MX),(MW),(PC)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","219 Conti, Mobile, AL",-88.0434414,30.6903202,"219 conti st, mobile, al 36602, usa","Geocoded"
44,"Octagon Club","3211 Spring Hill Rd.","473-8800","Mobile","AL","(*),(MX),(MW),(V),(P),(YC),(S),(E)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","3211 Spring Hill Rd., Mobile, AL",NA,NA,"NA","Geocoded"
49,"MCC","5290 Vaughn","(Unitarian Church) 264-7887 worship 5:30pm Sun","Montgomery","AL","(MCC)",1990,"Religious Organizations",NA,"","(205) area code","4/25/2023 9:36pm","5290 Vaughn, Montgomery, AL",-86.2171226,32.3422846,"5290 vaughn rd, montgomery, al 36116, usa","Geocoded"
48,"Zippers","207 Dexter Ave.","263-7890 8pm-? Mon-Sat, 6pm-? Sun","Montgomery","AL","(D),(S),(MW),(AH)",1990,"Bars",NA,"","(205) area code","4/25/2023 9:36pm","207 Dexter Ave., Montgomery, AL",-86.3059453,32.3777771,"207 dexter ave, montgomery, al 36104, usa","Geocoded"
57,"Blue Moon","530 E. 5th Ave.","277-0441","Anchorage","AK","(MW),(D)",1990,"Bars",NA,"","(907) area code","4/25/2023 9:36pm","530 E. 5th Ave., Anchorage, AK",-149.8736996,61.2172988,"mad myrna's, 530 e 5th ave, anchorage, ak 99501, usa","Geocoded"
58,"Raven","618 Gambell","(enter through parking lot on 6th) 276-9672","Anchorage","AK","(MW),(V),(NH)",1990,"Bars",NA,"","(907) area code","4/25/2023 9:36pm","618 Gambell, Anchorage, AK",-149.8716273,61.2162443,"618 gambell st, anchorage, ak 99501, usa","Geocoded"
59,"Shadows","3103 Spenard Rd.","561-5300 quiet bar upstairs, opens 4pm","Anchorage","AK","(D),(S),(MW)",1990,"Bars",NA,"","(907) area code","4/25/2023 9:36pm","3103 Spenard Rd., Anchorage, AK",-149.9050958,61.1921972,"3103 spenard rd, anchorage, ak 99503, usa","Geocoded"
60,"MCC","602 W. 10th Ave.","(Log Cabin Unitarian Church) 745-0803 worship 2:30pm Sun","Anchorage","AK","(MCC)",1990,"Religious Organizations",NA,"","(907) area code","4/25/2023 9:36pm","602 W. 10th Ave., Anchorage, AK",-149.8937455,61.2122881,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded"
62,"Anchorage Video Mart","137 W. 5th St.","276-9224","Anchorage","AK","",1990,"Erotica/Adult Groups",NA,"","(907) area code","4/25/2023 9:36pm","137 W. 5th St., Anchorage, AK",-149.8848136,61.2178036,"137 w 5th ave, anchorage, ak 99501, usa","Geocoded"
61,"Adult Only Bookstore","3956 Spenard Rd.","243-0697","Anchorage","AK","",1990,"Erotica/Adult Groups",NA,"","(907) area code","4/25/2023 9:36pm","3956 Spenard Rd., Anchorage, AK",-149.9262816,61.184545,"3956 spenard rd, anchorage, ak 99517, usa","Geocoded"
64,"Swinger Book Store","710 W. Northern Lights Blvd.","561-5039","Anchorage","AK","",1990,"Erotica/Adult Groups",NA,"","(907) area code","4/25/2023 9:36pm","710 W. Northern Lights Blvd., Anchorage, AK",-149.897326,61.1951308,"710 w northern lights blvd, anchorage, ak 99503, usa","Geocoded"
63,"French Quarter","4028 Mountain View","276-9049","Anchorage","AK","",1990,"Erotica/Adult Groups",NA,"","(907) area code","4/25/2023 9:36pm","4028 Mountain View, Anchorage, AK",-149.8056077,61.2239637,"4028 mountain view dr, anchorage, ak 99508, usa","Geocoded"
67,"Mike's 501","1085 Old Steese Hwy.","gay Fri & Sat night, call info line for details","Fairbanks","AK","(MX),(MW)",1990,"Bars",NA,"","(907) area code","4/25/2023 9:36pm","1085 Old Steese Hwy., Fairbanks, AK",-147.687435,64.8536279,"1085 old steese hwy, fairbanks, ak 99701, usa","Geocoded"
73,"Summit Hotel Bar","455 S. Franklin St.","(rear)","Juneau","AK","(MX)",1990,"Bars",NA,"","(907) area code","4/25/2023 9:36pm","455 S. Franklin St., Juneau, AK",-134.400941,58.297064,"455 s franklin st, juneau, ak 99801, usa","Geocoded"
75,"St. Elmo's","36 Brewery Gulch Ave.","432-5578","Bisbee","AZ","(MX),(MW)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","36 Brewery Gulch Ave., Bisbee, AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded"
80,"Charlie's","23 N. Leroux","","Flagstaff","AZ","(MX),(MW)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","23 N. Leroux, Flagstaff, AZ",-111.6490479,35.1984555,"23 n leroux st, flagstaff, az 86001, usa","Geocoded"
81,"Aradia Books","116 W. Cottage","779-3817 gay/lesbian books","Flagstaff","AZ","",1990,"Book Stores/Retail Shops",NA,"","(602) area code","4/25/2023 9:36pm","116 W. Cottage, Flagstaff, AZ",-111.6517029,35.1962402,"116 w cottage ave, flagstaff, az 86001, usa","Geocoded"
85,"Kings Inn Best Western","2930 E. Andy Devine","753-6101","Kingman","AZ","(MX)",1990,"Accommodations",NA,"","(602) area code","4/25/2023 9:36pm","2930 E. Andy Devine, Kingman, AZ",-114.0148392,35.2121662,"2930 e andy devine ave, kingman, az 86401, usa","Geocoded"
94,"Royal Villa Apts.","1102 E. Turney Ave.","266-6883 spa, overnight and long term accommodations","Phoenix","AZ","(SW)",1990,"Accommodations",NA,"","(602) area code","4/25/2023 9:36pm","1102 E. Turney Ave., Phoenix, AZ",-112.0578603,33.5002899,"1102 e turney ave, phoenix, az 85014, usa","Geocoded"
96,"Apollo's","5749 N. 7th St.","277-9373 cruise bar, popular happy hour","Phoenix","AZ","(*),(LV)",1990,"Bars,Cruising Areas",NA,"","(602) area code","4/25/2023 9:36pm","5749 N. 7th St., Phoenix, AZ",-112.0647068,33.5217741,"5749 n 7th st, phoenix, az 85014, usa","Geocoded"
97,"BS West","7125 5th Ave.","945-9028 video bar, noon-1am","Scottsdale","AZ","(P)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","7125 5th Ave., Scottsdale, AZ",-111.9274101,33.4978332,"7125 e 5th ave, scottsdale, az 85251, usa","Geocoded"
98,"Bobby's","1810 E. McDowell Rd.","258-9477 dance bar, opens 12 noon","Phoenix","AZ","(D),(V)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","1810 E. McDowell Rd., Phoenix, AZ",-112.0429096,33.4660714,"1810 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
100,"Cattleman's Exchange","138 W. Camelback Rd.","266-0875 conversation bar, upstairs 'Hayloft' bar","Phoenix","AZ","(OC)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","138 W. Camelback Rd., Phoenix, AZ",-112.077151,33.5096739,"138 w camelback rd, phoenix, az 85013, usa","Geocoded"
99,"Bum Steer","4620 N. 7th Ave.","279-3033 Copperstate Leathermen home bar, Phoenix home of T.A.L.L., patio","Phoenix","AZ","(L),(LV),(V),(AH)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","4620 N. 7th Ave., Phoenix, AZ",-112.0829409,33.5043274,"4620 n 7th ave, phoenix, az 85013, usa","Geocoded"
101,"Charlie's","727 W. Camelback Rd.","265-0224 square dancin'/cloggers, patio, home of the AZ Gay Rodeo","Phoenix","AZ","(*),(CW)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","727 W. Camelback Rd., Phoenix, AZ",-112.0836713,33.5089763,"727 w camelback rd, phoenix, az 85013, usa","Geocoded"
102,"The Club","4223 N. 7th St.","948-9730 11am-1am, after hours till 3am Fri & Sat. may be moving","Phoenix","AZ","(D),(*)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","4223 N. 7th St., Phoenix, AZ",-112.0650494,33.4973253,"4223 n 7th st, phoenix, az 85014, usa","Geocoded"
103,"Cruisin' Central","1011 N. Central Ave.","253-3376 opens 7am, Sun 12 noon","Phoenix","AZ","(OC),(H)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","1011 N. Central Ave., Phoenix, AZ",-112.0735561,33.4593182,"1011 n central ave, phoenix, az 85004, usa","Geocoded"
106,"Jay's Brazil","7232 First St.","946-9303","Scottsdale","AZ","(V),(AH)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","7232 First St., Scottsdale, AZ",-111.9250947,33.4925148,"7232 e 1st st, scottsdale, az 85251, usa","Geocoded"
105,"Farrah's","4158 Grand Ave.","841-7711 noon-1am, weekend afternoons","Phoenix","AZ","(MW),(CW),(AH)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","4158 Grand Ave., Phoenix, AZ",-112.147392,33.506893,"4158 grand ave, phoenix, az 85019, usa","Geocoded"
109,"Marlys's","15615 M. Cave Creek Rd.","867-2463 hrs noon-1am, frequent entertainment","Phoenix","AZ","(MW),(CW),(D),(E)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","15615 M. Cave Creek Rd., Phoenix, AZ",-112.0307214,33.6283127,"15615 cave creek rd, phoenix, az 85032, usa","Geocoded"
107,"K.C.'s","4240 N. Central Ave.","265-0395 4pm-1am, til 3am Fri & Sat","Phoenix","AZ","(D),(E),(AH)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","4240 N. Central Ave., Phoenix, AZ",-112.0741334,33.4977752,"4240 n central ave, phoenix, az 85012, usa","Geocoded"
110,"Nu Towne","5002 E. Van Buren","267-9959 noon-1am, popular Sun & Tue","Phoenix","AZ","(YC)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","5002 E. Van Buren, Phoenix, AZ",-111.9739771,33.4514023,"5002 e van buren st, phoenix, az 85008, usa","Geocoded"
112,"Stixx","3015 N. 16th St.","234-000 6am-1am","Phoenix","AZ","(D),(S),(E)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","3015 N. 16th St., Phoenix, AZ",-112.0473847,33.4825335,"3015 n 16th st, phoenix, az 85016, usa","Geocoded"
111,"Preston's","4102 E. Thomas Rd.","224-5778 bar/restaurant, til 3am","Phoenix","AZ","(*),(MW),(D),(AH)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","4102 E. Thomas Rd., Phoenix, AZ",-111.9927241,33.4807168,"wagon wheel shopping center, 4102 e thomas rd, phoenix, az 85018, usa","Geocoded"
113,"Trax","1724 E. McDowell","254-0231","Phoenix","AZ","(*),(D),(YC),(AH)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","1724 E. McDowell, Phoenix, AZ",-112.0445398,33.4660592,"1724 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
114,"Winks","5707 N. 7th St.","265-9002 piano bar and live entertainment, lunch daily 11:30-9pm","Phoenix","AZ","(*),(E)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","5707 N. 7th St., Phoenix, AZ",-112.064718,33.5205184,"5707 n 7th st, phoenix, az 85014, usa","Geocoded"
115,"Flex Complex","1517 S. Black Canyon Hwy.","(access road) 271-9011 3 bars, lounge, viedos, jacuzzi, steam, gym, rooms with priv bath","Phoenix","AZ","(SW)",1990,"Gyms/Health Clubs",NA,"","(602) area code","4/25/2023 9:36pm","1517 S. Black Canyon Hwy., Phoenix, AZ",-112.1072675,33.4337502,"1517 s black canyon hwy, phoenix, az 85009, usa","Geocoded"
116,"Humanspace Books Inc.","1617 N. 32nd St. #5","220-4419 alternative lifestyle bookstore/info center, gay men's titles","Phoenix","AZ","",1990,"Book Stores/Retail Shops",NA,"","(602) area code","4/25/2023 9:36pm","1617 N. 32nd St. #5, Phoenix, AZ",-112.0125818,33.4667912,"1617 n 32nd st #5, phoenix, az 85008, usa","Geocoded"
117,"Tuff Stuff","1714 E. McDowell","254-9651 leather, toys, etc., Tues-Fri 10-6, Sat 10-3, clsd Sun & Mon","Phoenix","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","1714 E. McDowell, Phoenix, AZ",-112.0449202,33.4660117,"1714 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
118,"Advantage Travel","24 W. Camelback Rd. Ste K","230-2299","Phoenix","AZ","",1990,"Travel/Tour Operators",NA,"","(602) area code","4/25/2023 9:36pm","24 W. Camelback Rd. Ste K, Phoenix, AZ",-112.0757224,33.5096521,"24 w camelback rd ste k, phoenix, az 85013, usa","Geocoded"
119,"Firstravel, Ltd.","5150 N. 7th St.","265-0666","Phoenix","AZ","(IGTA)",1990,"Travel/Tour Operators",NA,"","(602) area code","4/25/2023 9:36pm","5150 N. 7th St., Phoenix, AZ",-112.0652657,33.5126408,"5150 n 7th st, phoenix, az 85012, usa","Geocoded"
120,"Travel Registry","3819 N. 3rd St.","263-7761","Phoenix","AZ","(IGTA)",1990,"Travel/Tour Operators",NA,"","(602) area code","4/25/2023 9:36pm","3819 N. 3rd St., Phoenix, AZ",-112.0688054,33.4918808,"3819 n 3rd st, phoenix, az 85012, usa","Geocoded"
122,"Casa de Cristo Evangelical Church","1029 E. Turney","265-2831 Sun 8:30am, 10:30am, 7pm","Phoenix","AZ","",1990,"Religious Organizations",NA,"","(602) area code","4/25/2023 9:36pm","1029 E. Turney, Phoenix, AZ",-112.0585822,33.4993437,"1029 e turney ave, phoenix, az 85014, usa","Geocoded"
126,"Arizona Transformer","4770 M. 7th St. #3174","277-4742 pocket guide to Phoenix/Tucson","Phoenix","AZ","",1990,"Publications",NA,"","(602) area code","4/25/2023 9:36pm","4770 M. 7th St. #3174, Phoenix, AZ",-112.0652289,33.5063565,"4770 7th st #3174, phoenix, az 85014, usa","Geocoded"
124,"MCC Gentle Shepherd","3425 E. Mountain View Blvd.","996-7644 Sun 10:30am, 7pm","Phoenix","AZ","(MCC)",1990,"Religious Organizations",NA,"","(602) area code","4/25/2023 9:36pm","3425 E. Mountain View Blvd., Phoenix, AZ",-112.0067203,33.5750166,"3425 e mountain view rd, phoenix, az 85028, usa","Geocoded"
129,"Barney's Books","1421 E. McDowell Rd.","unverifiable spring '89","Phoenix","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","1421 E. McDowell Rd., Phoenix, AZ",-112.0510137,33.4655608,"1421 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
130,"Book Cellar-2","2103 W. Camelback Rd.","249-9788 books, etc. open 24hrs.","Phoenix","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","2103 W. Camelback Rd., Phoenix, AZ",-112.1044816,33.5093936,"2103 w camelback rd, phoenix, az 85015, usa","Geocoded"
131,"Castle Boutique","5501 E. Washington","231-9837 open 24hrs","Phoenix","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","5501 E. Washington, Phoenix, AZ",-111.9630151,33.4450894,"5501 e washington st, phoenix, az 85034, usa","Geocoded"
132,"International Bookstore","3640 E. Thomas Rd.","955-2000 large gay selection, 8am-2:30am","Phoenix","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","3640 E. Thomas Rd., Phoenix, AZ",-112.0026216,33.4807299,"3640 e thomas rd, phoenix, az 85018, usa","Geocoded"
133,"Modern World","1812 E. Apache,","967-9052 gay/lesbian selection, open 24hrs.","Tempe","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","1812 E. Apache,, Tempe, AZ",-111.9083036,33.4150236,"1812 e apache blvd, tempe, az 85281, usa","Geocoded"
135,"Zorba's Adult Book Shop","3924 N. Scottsdale Rd.,","941-9891 24hrs, video, etc.","Scottsdale","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","3924 N. Scottsdale Rd.,, Scottsdale, AZ",-111.9263913,33.4934999,"3924 n scottsdale rd, scottsdale, az 85251, usa","Geocoded"
134,"Pleasure Palace","1524 E. Van Buren","262-9942 24hrs.","Phoenix","AZ","",1990,"Erotica/Adult Groups",NA,"","(602) area code","4/25/2023 9:36pm","1524 E. Van Buren, Phoenix, AZ",-112.0478637,33.451564,"1524 e van buren st, phoenix, az 85006, usa","Geocoded"
141,"Oak Creek Owl Restaurant & Cocktail Room","329 Hwy. 179","282-3532 bar & restaurant","Sedona","AZ","(MX),(MW)",1990,"Restaurants & Cafes",NA,"","(602) area code","4/25/2023 9:36pm","329 Hwy. 179, Sedona, AZ",-111.7630853,34.8631731,"329 az-179, sedona, az 86336, usa","Geocoded"
147,"Hacienda del Sol Guest Ranch Resort","5601 N. Hacienda da del Sol Road","299-1501 44acre complex, horseback riding and tennis","Tucson","AZ","(MX),(MW),(SW),(F)",1990,"Accommodations",NA,"","(602) area code","4/25/2023 9:36pm","5601 N. Hacienda da del Sol Road, Tucson, AZ",NA,NA,"NA","Geocoded"
149,"Congress Tap Room","311 E. Congress","(inside Congress Hotel) 622-8848 9am-1am Mon-Sat, noon-1am Sun","Tucson","AZ","(OC),(MX)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","311 E. Congress, Tucson, AZ",-110.9668233,32.222337,"311 e congress st, tucson, az 85701, usa","Geocoded"
150,"Graduate","23 W. University Ave.","622-9233 11am-1am Mon-Sat, noon-1am Sun","Tucson","AZ","(*),(D)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","23 W. University Ave., Tucson, AZ",-110.9724985,32.231604,"23 w university blvd, tucson, az 85705, usa","Geocoded"
151,"It's About Time (IBT's)","616 N. 4th Ave.","882-3053","Tucson","AZ","(*),(D)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","616 N. 4th Ave., Tucson, AZ",-110.9654055,32.2295467,"616 n 4th ave, tucson, az 85705, usa","Geocoded"
152,"Joshua Tree","2921 N. 1st Ave.","622-6233 patio","Tucson","AZ","(*),(YC),(D)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","2921 N. 1st Ave., Tucson, AZ",-110.9614239,32.2607871,"2921 n 1st ave, tucson, az 85719, usa","Geocoded"
153,"Rainbow Room","3455 E. Grant","327-3390 9am-1am","Tucson","AZ","(D),(S)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","3455 E. Grant, Tucson, AZ",-110.9188801,32.2509179,"3455 e grant rd, tucson, az 85716, usa","Geocoded"
155,"Blue Willow","2616 N. Campbell","795-8736 health foods","Tucson","AZ","(MX),(MW)",1990,"Restaurants & Cafes",NA,"","(602) area code","4/25/2023 9:36pm","2616 N. Campbell, Tucson, AZ",-110.9435241,32.254416,"2616 n campbell ave, tucson, az 85719, usa","Geocoded"
154,"Rumorhazzit","2222 N. Stone","791-0309","Tucson","AZ","(MW),(D),(V)",1990,"Bars",NA,"","(602) area code","4/25/2023 9:36pm","2222 N. Stone, Tucson, AZ",-110.9716704,32.2487613,"2222 n stone ave, tucson, az 85705, usa","Geocoded"
158,"Fantasy Travel","610 E. Knox Dr.","293-2620","Tucson","AZ","",1990,"Travel/Tour Operators",NA,"","(602) area code","4/25/2023 9:36pm","610 E. Knox Dr., Tucson, AZ",-110.9613979,32.2773106,"610 e knox dr, tucson, az 85705, usa","Geocoded"
157,"Books Brothers","3242 E. Speedway Blvd.","326-3332 gen. bookstore with gay/lesbian section","Tucson","AZ","",1990,"Book Stores/Retail Shops",NA,"","(602) area code","4/25/2023 9:36pm","3242 E. Speedway Blvd., Tucson, AZ",-110.9238261,32.2357585,"3242 e speedway blvd, tucson, az 85716, usa","Geocoded"
156,"Stables","3820 E. 40th St.","748-0088 open 24 hrs, spa, steamroom, patio","Tucson","AZ","(P)",1990,"Gyms/Health Clubs",NA,"","(602) area code","4/25/2023 9:36pm","3820 E. 40th St., Tucson, AZ",-110.9104275,32.1890921,"3820 e 40th st, tucson, az 85713, usa","Geocoded"
159,"Cornerstone Fellowship","3333 E. Grant Rd.","881-3519","Tucson","AZ","",1990,"Religious Organizations",NA,"","(602) area code","4/25/2023 9:36pm","3333 E. Grant Rd., Tucson, AZ",-110.921928,32.2510949,"3333 e grant rd, tucson, az 85716, usa","Geocoded"
162,"MCC","560 S. Stone Ave.","622-4536 Sun 10:45, 5:30pm","Tucson","AZ","(MCC)",1990,"Religious Organizations",NA,"","(602) area code","4/25/2023 9:36pm","560 S. Stone Ave., Tucson, AZ",-110.9702067,32.214163,"560 s stone ave, tucson, az 85701, usa","Geocoded"
164,"The Bookstore Southwest","5754 E. Speedway Blvd","795-7467","Tucson","AZ","",1990,"Book Stores/Retail Shops",NA,"","(602) area code","4/25/2023 9:36pm","5754 E. Speedway Blvd, Tucson, AZ",-110.8691063,32.235824,"5754 e speedway blvd, tucson, az 85712, usa","Geocoded"
